ulasan,clean_ulasan
"tolong untuk di bis yang bagian kursi satu untuk tidak di duduki oleh dua orang, petugasnya minta tolong untuk pertegas. yang baru masuk jika tidak ada kursi dimohon untuk berdiri, saya tadi menaiki bis trans Bangkalan menuju Surabaya di desak oleh ibu"" baru masuk dan langsung dempet saya duduk di sebelah saya padahal itu kursi satu orang dan saya di desak terus seakan-akan disuruh minggir. kaki saya sakit karena kejepit gara-gara ibu"" itu. 13-05-25. 11:40 Djody Ilham Saputra",tolong untuk di bis yang bagi kursi satu untuk tidak di duduk oleh dua orang tugas minta tolong untuk tegas yang baru masuk jika tidak ada kursi mohon untuk diri saya tadi naik bis trans bangkal tuju surabaya di desak oleh ibu baru masuk dan langsung dempet saya duduk di belah saya padahal itu kursi satu orang dan saya di desak terus seakanakan suruh minggir kaki saya sakit karena jepit garagara ibu itu djody ilham saputra
pelayanan sangat buruk bus banyak yang nganggur sementara penumpang numpuk.. koridor IV satu jam hanya 2 bus yang jalan supir maupun kernetnya tidak siap bekerja mungkin merasa sudah digaji bulanan artinya mau bus dijalankan atau tidak gaji mereka tidak ada perubahan (berkurang atau bertambah) pikir mereka lebih baik gak narik toh gaji tetap lancar,layan sangat buruk bus banyak yang nganggur sementara tumpang numpuk koridor iv satu jam hanya bus yang jalan supir maupun kernet tidak siap kerja mungkin rasa sudah gaji bulan arti mau bus jalan atau tidak gaji mereka tidak ada ubah kurang atau tambah pikir mereka lebih baik gak narik toh gaji tetap lancar
"tambah unit bis, capek ngantri, capek nunggu, capek berdiri",tambah unit bis capek ngantri capek nunggu capek diri
bus transjatim cukup bagus. alangkah baiknya bila di Koridor 1 ditambah bus besar 3 unit. untuk mengurangi penumpukan penumpang overload di halte halte pinggir jalan,bus transjatim cukup bagus alangkah baik bila di koridor tambah bus besar unit untuk kurang tumpu tumpang overload di halte halte pinggir jalan
GOOGLE PIXEL 7 PRO,google pixel pro
"supir ugal²an, supir mantan angkot",supir ugal an supir mantan angkot
Secara keseluruhan bagus. Hanya perlu perbaikan bagian tanah di depan halte yang bergelombang dan perbedaan ketinggian tanah jalan umum. Mengakibatkan penumpang khawatir armada akan oleng.,cara seluruh bagus hanya perlu baik bagi tanah di depan halte yang gelombang dan beda tinggi tanah jalan umum akibat tumpang khawatir armada akan oleng
terbaik,baik
sangat terbantu dengan adanya transjatim perjalanan ke kampus jadi muda. tapi tolong dong tambah rute ke pasuruan pleaseee jangan batalin🥲 denger2 dari kernet nya kemaren antara jadi apa enggak. transportasi di pasuruan masih susah apalagi untuk wanita yg ber perjalanan sendiri sangat bahaya naik yg itu,sangat bantu dengan ada transjatim jalan ke kampus jadi muda tapi tolong dong tambah rute ke pasuruan pleaseee jangan batalin denger dari kernet nya kemaren antara jadi apa enggak transportasi di pasuruan masih susah apalagi untuk wanita yg ber jalan sendiri sangat bahaya naik yg itu
thank uu so much bis trans memudahkan sekaliiii and yaa bertahan sllu yaaw!!!🥰,thank uu so much bis trans mudah sekaliiii and yaa tahan sllu yaaw
sering telat sampai pegel nunggu,sering telat sampai gel nunggu
"tolong untuk bis area Gresik-Lamongan ditambah, karena banyak anak sekolah yang terlambat karena tidak mendapatkan bis",tolong untuk bis area gresiklamongan tambah karena banyak anak sekolah yang lambat karena tidak dapat bis
bagus,bagus
penumpang dari Bangkalan -sby dan sebalik nya full terus sampai2 harus nunggu berjam-jam,tumpang dari bangkal sby dan balik nya full terus sampai harus nunggu berjamjam
"mengakomodir semua transportasi umum yang ada dalam lingkup dishub, good very well",mengakomodir semua transportasi umum yang ada dalam lingkup dishub good very well
Udah nunggu 1 jam dari jam 04.30 sampe sekarang jam 05.23 bus ga Dateng- Dateng PARAHHHH,udah nunggu jam dari jam sampe sekarang jam bus ga dateng dateng parahhhh
"eson ngenteni sesuai jadwal tod, 05:00. Saiki 05:22 gak teko"" bis.e",eson ngenteni sesuai jadwal tod saiki gak teko bise
"Setiap mau kontrol ke RS selalu saja berdiri, coba diperbanyak lagi bus yang beroperasi. Saya cek di aplikasi banyak bus yang tidak dioperasikan. Kalau yang beroperasi lebih banyak pasti penumpang lebih nyaman. Masa sama-sama bayar 5rb tapi harus berdiri dari pemberangkatan hingga tujuan, ya untung saja jarak yang saya tempuh ga jauh.",tiap mau kontrol ke rs selalu saja diri coba banyak lagi bus yang operasi saya cek di aplikasi banyak bus yang tidak operasi kalau yang operasi lebih banyak pasti tumpang lebih nyaman masa samasama bayar rb tapi harus diri dari berangkat hingga tuju ya untung saja jarak yang saya tempuh ga jauh
supir terlalu bar bar saat mengemudi. ada stiker tegur pengemudi bila ugal ugalan di tegur juga sama saja padahal nyawa yang di bawa harap untuk bus K.III 010 supir agar lebih hati2 banyak nyawa yg anda bawa,supir terlalu bar bar saat kemudi ada stiker tegur kemudi bila ugal ugalan di tegur juga sama saja padahal nyawa yang di bawa harap untuk bus kiii supir agar lebih hati banyak nyawa yg anda bawa
selain bermanfaat jg mengemat ekonomi untuk saya sebagai pengguna transport untuk pulang kedesa yg transit di terminal bungurasih...semoga di pertahankan selamanya,selain manfaat jg emat ekonomi untuk saya bagai guna transport untuk pulang desa yg transit di terminal bungurasihsemoga di tahan lama
Sangat Mudah Pembayaran Nya Dan Bus nya Bagus Dan Bersih,sangat mudah bayar nya dan bus nya bagus dan bersih
"tolong diperbaiki jam layanan nya, di aplikasi jam 05.00 s.d 21.00, tapi dilapangan, jam 06 s/d 19, layanannya. dinas terkait tlg disidak pelayanannya, pak/buk. trims.",tolong baik jam layan nya di aplikasi jam sd tapi lapang jam sd layan dinas kait tlg disidak layan pakbuk trims
pelayanan buruk transportasi sedikit penumpang banyak gak jelas banget kurang survey ke lapangan,layan buruk transportasi sedikit tumpang banyak gak jelas banget kurang survey ke lapang
"Bis bagus nyaman AC,musik, harga murah ,pelayanan bagus petugas ramah",bis bagus nyaman acmusik harga murah layan bagus tugas ramah
"yang di terminal paciran, kenapa pas pemberangkatan harus di suruh ke dalam terminal, trus halte di luar gunanya apa? , kasihan orang yang nunggu di luar halte, bus lewat CUWEK, kalau gak guna haltenya BONGKAR ajj, ganti di dalam,",yang di terminal paciran kenapa pas berangkat harus di suruh ke dalam terminal trus halte di luar guna apa kasihan orang yang nunggu di luar halte bus lewat cuwek kalau gak guna halte bongkar ajj ganti di dalam
Baik,baik
Payment via Astrapay error (Internal Server Error 500),payment via astrapay error internal server error
10/10 sangat2 bagus sekali kalau bisa tambah lagi tanah merah Surabaya...,sangat bagus sekali kalau bisa tambah lagi tanah merah surabaya
Bagus/keren apknya sangat membantu sekali,baguskeren apknya sangat bantu sekali
"ini bagus membantu masyarakat, tapi armada bis nya kekecilan, jd penumpangnya gak muat, dan harus desak-deskan di dalam halte karna haltenya kecil, apalagi yg buat tujuan Gresik",ini bagus bantu masyarakat tapi armada bis nya kecil jadi tumpang gak muat dan harus desakdeskan di dalam halte karna halte kecil apalagi yg buat tuju gresik
"Orang belum duduk/blm pegangan kok sudah jalan,seharusnya jgn gitu bahaya buat orang hamil/orang tua",orang belum dudukblm pegang kok sudah jalanseharusnya jgn gitu bahaya buat orang hamilorang tua
"Jombang, Nganjuk, Madiun, Ngawi buat provinsi dewe ae piye?",jombang nganjuk madiun ngawi buat provinsi dewe ae piye
Bus lelet mending Akas mahal gpp,bus lelet mending akas mahal tidak apa
Sangat Membantu Bagi Yg Tidak Mampu,sangat bantu bagi yg tidak mampu
"baguss ini sangat membatu kalo saya mau pulang ke Sidoarjo kalo habis sekolah dari SBY, tapi kadang nggak kuat antri nya di halte Purabaya, mana kadang ada yang sampe dorong dorong karna terburu buru, but it's oke mungkin orang nya lagi buru buru, tapi mungkin bisa di tambah lagi bus nya? soalnya banyakk banget peminat bus ini tapi syaang kurang nya bus dan lamanya waktu bus yang gak tepat waktu sihh. mungkin itu juga karna udah jam pulang kerja ya jadi ya maklum sih....",baguss ini sangat batu kalo saya mau pulang ke sidoarjo kalo habis sekolah dari sby tapi kadang nggak kuat antri nya di halte purabaya mana kadang ada yang sampe dorong dorong karna buru buru but its oke mungkin orang nya lagi buru buru tapi mungkin bisa di tambah lagi bus nya soal banyakk banget minat bus ini tapi syaang kurang nya bus dan lama waktu bus yang gak tepat waktu sihh mungkin itu juga karna udah jam pulang kerja ya jadi ya maklum sih
"Bagus, akurat jam tunggu bis nya. Yok bisa yok perluas lagi jalur nya",bagus akurat jam tunggu bis nya yok bisa yok luas lagi jalur nya
"Sangat baik, untuk pembayaran tolong dibuat bisa semua bank. Makasih",sangat baik untuk bayar tolong buat bisa semua bank makasih
Bener bener berguna banget buat ngelacak bis sudah mau datang atau belum... 🥰🌟,bener bener guna banget buat ngelacak bis sudah mau datang atau belum
