video_url,comment
https://www.youtube.com/watch?v=aA98ajOleo0,"Next naik BRT di setiap kota singgah ya mas (misal kalau trip jauh ke Yogyakarta cobain Trans Jogja, ke Padang cobain Trans Padang)"
https://www.youtube.com/watch?v=aA98ajOleo0,aku sbagai wrga mjokerto bangga adanya bus kyk gini..se engga nya klau ke sby ga trlalu lama nunggu bus nya..biasa nya nunggu sumber/mira agak lama..slam mjokerto kota mas wildan
https://www.youtube.com/watch?v=aA98ajOleo0,"Berharap kota kota di Indonesia mulai banyakin transportasi umum kayak brt ini. Soalnya membantu banget, apalagi terintegrasi ke daerah daerah wisata. Selain itu ngurangin kendaraan pribadi juga."
https://www.youtube.com/watch?v=aA98ajOleo0,"Semakin keren trans jatim..
Semoga d'tahun² berikutnya trans jatim bisa menggunakan bus listrik yg ramah lingkungan... "
https://www.youtube.com/watch?v=aA98ajOleo0,"Jalur Babat Lamongan Gresik Surabaya sangat butuh Trans Jatim, sebab banyak pekerja yg hilir mudik di kawasan ini, keberadaan Trans Jatim juga bisa mengurangi penumpukan jumlah penduduk di Surabaya.

Untuk rencana MRT Surabaya, sebaiknya sementara fokus dulu di realisasi KRL Surabaya.
Mulai dari KRL Babat - Lamongan - Gresik- Surabaya
KRL Surabaya - Sidoarjo - Gempol - Pandaan - Lawang - Malang.
Lalu KRL Surabaya - Sidoarjo - Mojokerto"
https://www.youtube.com/watch?v=aA98ajOleo0,"Trm ksh buat Pemprov Jatim yg sdh memperbarui armada bis ijo ini menjadi Trans Jatim......mudah-2 an utk Surabaya tujuan akhirnya tetep di terminal Joyoboyo 
Trm ksh......"
https://www.youtube.com/watch?v=aA98ajOleo0,"spirit pemprov utk ekspansi trans jatim bener bener jauh diatas kota-kabupatennya.

keep the good momentum to connecting many big cities and other potential city or regency"
https://www.youtube.com/watch?v=aA98ajOleo0,Betul banget semoga ada trans Mojokerto Pasuruan Mojokerto jombang.karena banyak pekerja dari Jombang - Surabaya maupun Jombang - Ngoro Mojokerto yang setiap hari PP.
https://www.youtube.com/watch?v=aA98ajOleo0,Semoga makin bnyk masyarakat yg naik transportasi umum. Mantap
https://www.youtube.com/watch?v=aA98ajOleo0,"Cocok untuk warga yg punya mobilitas tinggi,murah efisisen fleksibel"
https://www.youtube.com/watch?v=aA98ajOleo0,mntap Bun...
https://www.youtube.com/watch?v=aA98ajOleo0,"Jogja hadir ; mirip Trans Jogja mas, saya sering naik dari Bantul ke Malioboro pp tarip 3.700"
https://www.youtube.com/watch?v=aA98ajOleo0,"Kebanyakan trans jatim sekarang seperti bus Jawa timuran, setiap kendaraan didepannya disorot2 lampu dim dan diklasonin, terutama kalau sudah masuk tol sidoarjo arah surabaya. Cuman masih belum nemu yang ngeblong aja."
https://www.youtube.com/watch?v=aA98ajOleo0,"warbiasaa..... gak cuma antar provinsi, skrg reviu lokalan... makin joss..... ojo lali ngupi massee...."
https://www.youtube.com/watch?v=aA98ajOleo0,"Saya doakan ada bus seperti ini,  mojokerto - pasuruan. Karena busnya yg warna kuning itu bus lama,  perlu pembaruan. Saya juga pengguna bus kuning"
https://www.youtube.com/watch?v=aA98ajOleo0,Bang Wildan Cobak Trip Jakarta Bima Kan Dulu pernah Nyobak tapi gagal karna Tugas Dadakan Bng.
https://www.youtube.com/watch?v=aA98ajOleo0,Smg bangkit kembali jasa angkutan umum bus maupun bemo sehingga aktivitas kru terminal2 bs menambah aktif lagi jg hilir mudik terminal bs ramai kembali smg ada kebijakan dari pemerintah  untujk terninal bus dan bemo yg penting para sopir harus prifesional
https://www.youtube.com/watch?v=aA98ajOleo0,"Mantap mas Ahmad Wildani ... keren drivernya ibu""  bus trans Jatim"
https://www.youtube.com/watch?v=aA98ajOleo0,"Kenangan terminal Mojokerto, zaman masih rame Line, bis ijo ...

nginap di bagian Musholla habis sahur lanjut jalan2 ke Troloyo"
https://www.youtube.com/watch?v=aA98ajOleo0,Keren mase....mudah2an nganjuk kediri jga ada trans jatim...soalle bus yg lama  bus kawan kita udah gak adem lagi
https://www.youtube.com/watch?v=aA98ajOleo0,"Berharap ada yg rute mojokerto-joyoboyo, mojokerto-bratang, mojokerto-jmp, mojokerto-kenjeran"
https://www.youtube.com/watch?v=aA98ajOleo0,"Terminal sepiii..hehehe
Mugo mugo rame mane ono trans jatim..."
https://www.youtube.com/watch?v=aA98ajOleo0,Mojokerto kota kenangan semoga bulan depan bisa mampir ksini mumpung ada kerjaan di malang
https://www.youtube.com/watch?v=aA98ajOleo0,nostalgia bis mojokerto krian wkwkwk
https://www.youtube.com/watch?v=aA98ajOleo0,"Dipisah terus mas wil, cewek didepan cowok dibelakang. Ini kan udah ada di jalur sidoarjo-surabaya-gresik"
https://www.youtube.com/watch?v=aA98ajOleo0,"Mohon dishub jatim, membuat trayek pingiran kota bungurasih ke  jombang, lewat mlirip, gedeg, kudu, ploso, tambak beras, masuk terminal jombang"
https://www.youtube.com/watch?v=aA98ajOleo0,Klo sudah bertarif nantinya alangkah baiknya yg konduktornya itu stay di setiap halte yg di lalui seperti trans jakarta
https://www.youtube.com/watch?v=aA98ajOleo0,"Wahhh langsung Pertama nyobain,, mumpung gratis juga sih terimakasih Po.bagong"
https://www.youtube.com/watch?v=aA98ajOleo0,Asyik juga mas AW..
https://www.youtube.com/watch?v=aA98ajOleo0,"Mantap tripnya mas, oalah ternyata ini pengganti Bus Ijo legendaris Mojokerto - Surabaya, walaupun rutenya cuma sampai Bungurasih, bukan Joyoboyo. Krunya ada 3 orang ya? Semoga Trans Jatim ini makin berekspansi lagi rutenya, dan semoga pembayarannya bisa sekali bayar dan tetap menerima cash sih kedepannya."
https://www.youtube.com/watch?v=aA98ajOleo0,"Keren Masse,saya harap ada trans Jatim rute Mojokerto-pasuruan
Karena saya Pasuruan,naik bis kuning,glodakan Mase.."
https://www.youtube.com/watch?v=aA98ajOleo0,"Salam dari Mbriti Pacet. Cobain trip bis ijonya skalian mas, pgn tau keadaanx terkinai pasca adanya trans jatim"
https://www.youtube.com/watch?v=aA98ajOleo0,Bus Trans Jatim seharusnya dari kota ke kota (masuk terminal dalam kota). Karena kalau sampai terminal Bungurasih akan sama dengan bus reguler antar kota. Tidak akan mengurangi penggunaan kendaraan pribadi. Terminal Bungurasih sebaiknya sebagai terminal transit sebelum bus ini masuk kota Surabaya..
https://www.youtube.com/watch?v=aA98ajOleo0,"Mantap, lebih mudah transportas"
https://www.youtube.com/watch?v=aA98ajOleo0,"Pertama liat thumbnail kirain bus trans jogja, trnyta trans jatim. Mantap bus nya"
https://www.youtube.com/watch?v=aA98ajOleo0,Jossss. Alon2 asal slameettt
https://www.youtube.com/watch?v=aA98ajOleo0,Sakjane masuk kota mojokerto
